iter	Logloss
0	0.5270960249
1	0.4298251251
2	0.3816758518
3	0.3467500292
4	0.3274529227
5	0.3160432618
6	0.3053411944
7	0.2986726432
8	0.293794632
9	0.2888008644
10	0.2842769952
11	0.2803953763
12	0.2781863377
13	0.2759936431
14	0.2723194155
15	0.2694492505
16	0.2670469284
17	0.2655892043
18	0.2641777992
19	0.2623961712
20	0.2607153037
21	0.2595778169
22	0.258549197
23	0.2577583708
24	0.2566740924
25	0.2553715377
26	0.2535155724
27	0.252335088
28	0.2514164366
29	0.2508187787
30	0.2501199821
31	0.2490501404
32	0.2479284714
33	0.2466280378
34	0.2452143636
35	0.243808845
36	0.2429945387
37	0.2424525886
38	0.2414434696
39	0.2404808505
40	0.2398736395
41	0.2389946313
42	0.2384574331
43	0.2377827085
44	0.2363562419
45	0.2358368841
46	0.2348477265
47	0.2339468824
48	0.2323129917
49	0.2320879246
50	0.2305637557
51	0.2285426732
52	0.227452903
53	0.226401625
54	0.2258516509
55	0.2255963621
56	0.2244498483
57	0.223263609
58	0.2229913514
59	0.2217452937
60	0.219987376
61	0.219067442
62	0.2177959968
63	0.2171257282
64	0.2160563798
65	0.2151312006
66	0.2142840583
67	0.213304125
68	0.2121927985
69	0.2116598261
70	0.2108664348
71	0.2096490531
72	0.2087950706
73	0.2081268574
74	0.2072357638
75	0.2068433104
76	0.2058956376
77	0.2049305521
78	0.2041197152
79	0.2035828623
80	0.2027378411
81	0.2016407539
82	0.2015271351
83	0.2008057134
84	0.199910131
85	0.1987931153
86	0.1985432526
87	0.1974141187
88	0.1963673296
89	0.1957571753
90	0.1947809581
91	0.1936241018
92	0.1924634966
93	0.1919175839
94	0.1912466575
95	0.1907063846
96	0.1898121341
97	0.1892995341
98	0.1880825635
99	0.187245073
