TransactionID,isFraud
3404559,1
3404560,1
3404561,1
3404562,1
3404563,1
3404564,1
3404565,1
3404566,1
3404567,1
3404568,1
3404569,1
3404570,1
3404571,1
3404572,1
3404573,1
3404574,1
3404575,1
3404576,1
3404577,1
3404578,1
3404579,1
3404580,1
3404581,1
3404582,1
3404583,1
3404584,1
3404585,1
3404586,1
3404587,1
3404588,1
3404589,1
3404590,1
3404591,1
3404592,1
3404593,1
3404594,1
3404595,1
3404596,1
3404597,1
3404598,1
3404599,1
3404600,1
3404601,1
3404602,1
3404603,1
3404604,1
3404605,0
3404606,1
3404607,1
3404608,1
3404609,0
3404610,1
3404611,1
3404612,1
3404613,1
3404614,1
3404615,1
3404616,1
3404617,1
3404618,1
3404619,1
3404620,1
3404621,1
3404622,1
3404623,1
3404624,1
3404625,1
3404626,1
3404627,1
3404628,0
3404629,1
3404630,1
3404631,1
3404632,1
3404633,1
3404634,1
3404635,1
3404636,1
3404637,1
3404638,1
3404639,1
3404640,1
3404641,1
3404642,1
3404643,1
3404644,1
3404645,1
3404646,1
3404647,1
3404648,1
3404649,1
3404650,1
3404651,1
3404652,1
3404653,1
3404654,1
3404655,1
3404656,1
3404657,1
3404658,1
3404659,1
3404660,1
3404661,1
3404662,1
3404663,1
3404664,1
3404665,1
3404666,1
3404667,0
3404668,1
3404669,1
3404670,1
3404671,1
3404672,1
3404673,1
3404674,1
3404675,1
3404676,1
3404677,1
3404678,1
3404679,1
3404680,1
3404681,1
3404682,1
3404683,1
3404684,1
3404685,1
3404686,1
3404687,1
3404688,1
3404689,1
3404690,1
3404691,1
3404692,1
3404693,1
3404694,1
3404695,1
3404696,1
3404697,1
3404698,1
3404699,1
3404700,1
3404701,1
3404702,1
3404703,1
3404704,1
3404705,1
3404706,1
3404707,1
3404708,1
3404709,1
3404710,1
3404711,1
3404712,1
3404713,1
3404714,1
3404715,1
3404716,1
3404717,1
3404718,1
3404719,1
3404720,1
3404721,1
3404722,1
3404723,1
3404724,1
3404725,1
3404726,1
3404727,1
3404728,1
3404729,1
3404730,1
3404731,1
3404732,1
3404733,1
3404734,1
3404735,1
3404736,1
3404737,1
3404738,1
3404739,1
3404740,1
3404741,1
3404742,1
3404743,1
3404744,1
3404745,1
3404746,1
3404747,1
3404748,1
3404749,1
3404750,1
3404751,1
3404752,1
3404753,1
3404754,1
3404755,1
3404756,1
3404757,1
3404758,1
3404759,1
3404760,1
3404761,1
3404762,1
3404763,1
3404764,1
3404765,1
3404766,1
3404767,1
3404768,1
3404769,1
3404770,1
3404771,1
3404772,1
3404773,1
3404774,1
3404775,1
3404776,1
3404777,1
3404778,1
3404779,1
3404780,1
3404781,1
3404782,1
3404783,1
3404784,1
3404785,1
3404786,1
3404787,1
3404788,1
3404789,1
3404790,1
3404791,1
3404792,1
3404793,1
3404794,1
3404795,1
3404796,1
3404797,1
3404798,1
3404799,1
3404800,1
3404801,1
3404802,1
3404803,1
3404804,1
3404805,1
3404806,1
3404807,1
3404808,1
3404809,1
3404810,1
3404811,1
3404812,1
3404813,0
3404814,1
3404815,1
3404816,1
3404817,1
3404818,1
3404819,1
3404820,1
3404821,1
3404822,1
3404823,1
3404824,1
3404825,1
3404826,1
3404827,1
3404828,1
3404829,1
3404830,1
3404831,1
3404832,1
3404833,1
3404834,1
3404835,1
3404836,1
3404837,1
3404838,1
3404839,1
3404840,1
3404841,1
3404842,1
3404843,1
3404844,1
3404845,1
3404846,1
3404847,1
3404848,1
3404849,1
3404850,1
3404851,1
3404852,1
3404853,1
3404854,1
3404855,1
3404856,1
3404857,1
3404858,1
3404859,1
3404860,1
3404861,1
3404862,1
3404863,1
3404864,1
3404865,1
3404866,1
3404867,1
3404868,1
3404869,1
3404870,1
3404871,1
3404872,1
3404873,1
3404874,1
3404875,1
3404876,1
3404877,1
3404878,1
3404879,1
3404880,1
3404881,1
3404882,1
3404883,1
3404884,1
3404885,1
3404886,1
3404887,1
3404888,1
3404889,1
3404890,1
3404891,1
3404892,0
3404893,1
3404894,1
3404895,1
3404896,1
3404897,1
3404898,1
3404899,1
3404900,1
3404901,1
3404902,1
3404903,1
3404904,1
3404905,1
3404906,1
3404907,1
3404908,1
3404909,1
3404910,1
3404911,1
3404912,1
3404913,1
3404914,1
3404915,0
3404916,1
3404917,1
3404918,1
3404919,1
3404920,1
3404921,1
3404922,1
3404923,1
3404924,1
3404925,1
3404926,1
3404927,1
3404928,1
3404929,1
3404930,1
3404931,1
3404932,1
3404933,1
3404934,1
3404935,1
3404936,1
3404937,1
3404938,1
3404939,1
3404940,1
3404941,1
3404942,1
3404943,1
3404944,1
3404945,1
3404946,1
3404947,1
3404948,1
3404949,1
3404950,1
3404951,1
3404952,1
3404953,1
3404954,1
3404955,1
3404956,1
3404957,1
3404958,1
3404959,1
3404960,1
3404961,1
3404962,1
3404963,1
3404964,1
3404965,1
3404966,1
3404967,1
3404968,1
3404969,1
3404970,1
3404971,1
3404972,1
3404973,1
3404974,1
3404975,1
3404976,1
3404977,1
3404978,1
3404979,1
3404980,1
3404981,1
3404982,1
3404983,1
3404984,1
3404985,1
3404986,1
3404987,1
3404988,1
3404989,1
3404990,1
3404991,1
3404992,1
3404993,1
3404994,1
3404995,0
3404996,1
3404997,1
3404998,1
3404999,1
3405000,1
3405001,1
3405002,1
3405003,1
3405004,1
3405005,1
3405006,1
3405007,1
3405008,1
3405009,1
3405010,1
3405011,1
3405012,1
3405013,1
3405014,1
3405015,1
3405016,1
3405017,1
3405018,1
3405019,1
3405020,1
3405021,1
3405022,1
3405023,1
3405024,1
3405025,1
3405026,1
3405027,1
3405028,1
3405029,1
3405030,1
3405031,1
3405032,1
3405033,1
3405034,1
3405035,1
3405036,1
3405037,1
3405038,1
3405039,1
3405040,1
3405041,1
3405042,1
3405043,1
3405044,1
3405045,1
3405046,1
3405047,1
3405048,1
3405049,1
3405050,1
3405051,1
3405052,1
3405053,1
3405054,1
3405055,1
3405056,1
3405057,1
3405058,1
3405059,1
3405060,1
3405061,1
3405062,1
3405063,1
3405064,1
3405065,1
3405066,1
3405067,1
3405068,1
3405069,1
3405070,1
3405071,1
3405072,1
3405073,1
3405074,1
3405075,1
3405076,1
3405077,1
3405078,1
3405079,1
3405080,1
3405081,1
3405082,1
3405083,1
3405084,1
3405085,1
3405086,1
3405087,1
3405088,1
3405089,1
3405090,1
3405091,1
3405092,1
3405093,1
3405094,1
3405095,1
3405096,1
3405097,1
3405098,1
3405099,1
3405100,1
3405101,1
3405102,1
3405103,1
3405104,1
3405105,1
3405106,1
3405107,1
3405108,1
3405109,1
3405110,1
3405111,1
3405112,1
3405113,1
3405114,1
3405115,1
3405116,1
3405117,1
3405118,1
3405119,1
3405120,1
3405121,1
3405122,1
3405123,1
3405124,1
3405125,1
3405126,1
3405127,1
3405128,1
3405129,1
3405130,1
3405131,1
3405132,1
3405133,1
3405134,1
3405135,1
3405136,1
3405137,1
3405138,1
3405139,1
3405140,1
3405141,1
3405142,1
3405143,1
3405144,1
3405145,1
3405146,1
3405147,1
3405148,1
3405149,1
3405150,1
3405151,1
3405152,1
3405153,1
3405154,1
3405155,1
3405156,1
3405157,1
3405158,1
3405159,1
3405160,1
3405161,1
3405162,1
3405163,1
3405164,1
3405165,1
3405166,1
3405167,1
3405168,1
3405169,1
3405170,1
3405171,1
3405172,1
3405173,1
3405174,1
3405175,1
3405176,1
3405177,1
3405178,1
3405179,1
3405180,1
3405181,1
3405182,1
3405183,1
3405184,1
3405185,1
3405186,1
3405187,1
3405188,1
3405189,1
3405190,1
3405191,1
3405192,1
3405193,1
3405194,1
3405195,1
3405196,1
3405197,1
3405198,1
3405199,1
3405200,1
3405201,1
3405202,1
3405203,1
3405204,1
3405205,1
3405206,1
3405207,1
3405208,1
3405209,1
3405210,1
3405211,1
3405212,1
3405213,1
3405214,1
3405215,1
3405216,1
3405217,1
3405218,1
3405219,1
3405220,1
3405221,1
3405222,1
3405223,1
3405224,1
3405225,1
3405226,1
3405227,1
3405228,1
3405229,1
3405230,1
3405231,1
3405232,1
3405233,1
3405234,1
3405235,1
3405236,1
3405237,1
3405238,1
3405239,1
3405240,1
3405241,1
3405242,1
3405243,1
3405244,1
3405245,1
3405246,1
3405247,1
3405248,1
3405249,1
3405250,1
3405251,1
3405252,1
3405253,1
3405254,1
3405255,1
3405256,1
3405257,1
3405258,1
3405259,1
3405260,1
3405261,1
3405262,1
3405263,1
3405264,1
3405265,1
3405266,1
3405267,1
3405268,1
3405269,1
3405270,1
3405271,1
3405272,1
3405273,1
3405274,1
3405275,1
3405276,1
3405277,1
3405278,1
3405279,1
3405280,1
3405281,1
3405282,1
3405283,1
3405284,1
3405285,1
3405286,1
3405287,1
3405288,1
3405289,1
3405290,1
3405291,1
3405292,1
3405293,1
3405294,1
3405295,1
3405296,1
3405297,1
3405298,1
3405299,1
3405300,1
3405301,1
3405302,1
3405303,1
3405304,1
3405305,1
3405306,1
3405307,1
3405308,1
3405309,1
3405310,1
3405311,1
3405312,1
3405313,1
3405314,1
3405315,1
3405316,1
3405317,1
3405318,1
3405319,1
3405320,1
3405321,1
3405322,1
3405323,1
3405324,1
3405325,1
3405326,1
3405327,1
3405328,1
3405329,1
3405330,1
3405331,1
3405332,1
3405333,1
3405334,1
3405335,1
3405336,1
3405337,1
3405338,1
3405339,1
3405340,1
3405341,1
3405342,1
3405343,1
3405344,1
3405345,1
3405346,1
3405347,1
3405348,1
3405349,1
3405350,1
3405351,1
3405352,1
3405353,1
3405354,1
3405355,1
3405356,1
3405357,1
3405358,1
3405359,1
3405360,1
3405361,1
3405362,1
3405363,1
3405364,1
3405365,1
3405366,1
3405367,1
3405368,1
3405369,1
3405370,1
3405371,1
3405372,1
3405373,1
3405374,1
3405375,1
3405376,1
3405377,1
3405378,1
3405379,1
3405380,1
3405381,1
3405382,1
3405383,1
3405384,1
3405385,1
3405386,1
3405387,1
3405388,1
3405389,1
3405390,1
3405391,1
3405392,1
3405393,1
3405394,1
3405395,1
3405396,1
3405397,1
3405398,1
3405399,1
3405400,1
3405401,1
3405402,1
3405403,1
3405404,1
3405405,1
3405406,1
3405407,1
3405408,1
3405409,1
3405410,1
3405411,1
3405412,1
3405413,1
3405414,1
3405415,1
3405416,1
3405417,1
3405418,1
3405419,1
3405420,1
3405421,1
3405422,1
3405423,1
3405424,1
3405425,1
3405426,1
3405427,1
3405428,1
3405429,1
3405430,1
3405431,1
3405432,1
3405433,1
3405434,1
3405435,1
3405436,1
3405437,1
3405438,1
3405439,1
3405440,1
3405441,1
3405442,1
3405443,1
3405444,1
3405445,1
3405446,1
3405447,1
3405448,1
3405449,0
3405450,1
3405451,1
3405452,1
3405453,1
3405454,1
3405455,1
3405456,1
3405457,1
3405458,1
3405459,1
3405460,1
3405461,1
3405462,1
3405463,1
3405464,1
3405465,1
3405466,1
3405467,1
3405468,1
3405469,1
3405470,1
3405471,1
3405472,1
3405473,1
3405474,1
3405475,1
3405476,1
3405477,1
3405478,1
3405479,1
3405480,1
3405481,1
3405482,1
3405483,1
3405484,1
3405485,1
3405486,1
3405487,1
3405488,1
3405489,1
3405490,1
3405491,1
3405492,1
3405493,1
3405494,1
3405495,1
3405496,1
3405497,1
3405498,1
3405499,1
3405500,1
3405501,1
3405502,1
3405503,1
3405504,1
3405505,1
3405506,1
3405507,1
3405508,1
3405509,1
3405510,1
3405511,1
3405512,1
3405513,1
3405514,1
3405515,1
3405516,1
3405517,1
3405518,1
3405519,1
3405520,1
3405521,1
3405522,1
3405523,1
3405524,1
3405525,1
3405526,1
3405527,1
3405528,1
3405529,1
3405530,1
3405531,1
3405532,1
3405533,1
3405534,1
3405535,1
