iter	Passed	Remaining
0	191	191464
1	315	157379
2	459	152628
3	612	152555
4	747	148668
5	895	148337
6	1057	149951
7	1197	148454
8	1337	147285
9	1469	145456
10	1626	146204
11	1771	145878
12	1918	145644
13	2093	147442
14	2239	147093
15	2362	145284
16	2528	146185
17	2705	147613
18	2835	146424
19	3014	147729
20	3157	147184
21	3304	146899
22	3482	147922
23	3618	147145
24	3787	147700
25	3931	147290
26	4098	147701
27	4267	148144
28	4449	148993
29	4579	148055
30	4773	149213
31	4914	148667
32	5067	148492
33	5211	148068
34	5408	149107
35	5558	148854
36	5745	149527
37	5934	150236
38	6132	151119
39	6289	150959
40	6407	149867
41	6565	149749
42	6735	149904
43	6888	149675
44	7077	150209
45	7264	150659
46	7435	150765
47	7574	150235
48	7746	150338
49	7948	151019
50	8128	151255
51	8328	151840
52	8535	152506
53	8706	152526
54	8855	152147
55	8994	151617
56	9139	151207
57	9306	151158
58	9446	150658
59	9659	151328
60	9857	151738
61	10020	151603
62	10176	151361
63	10327	151039
64	10450	150320
65	10596	149957
66	10767	149942
67	10906	149476
68	11051	149113
69	11272	149761
70	11440	149692
71	11595	149448
72	11754	149264
73	11895	148857
74	12053	148665
75	12187	148178
76	12319	147672
77	12478	147507
78	12662	147624
79	12823	147473
80	12960	147046
81	13098	146642
82	13260	146507
83	13429	146445
84	13566	146039
85	13710	145710
86	13871	145576
87	14020	145299
88	14225	145607
89	14364	145245
90	14515	144992
91	14683	144918
92	14854	144869
93	15093	145473
94	15247	145252
95	15405	145072
96	15562	144874
97	15713	144629
98	15855	144303
99	16008	144080
100	16170	143937
101	16338	143845
102	16497	143672
103	16655	143495
104	16830	143461
105	16984	143250
106	17125	142927
107	17268	142626
108	17418	142387
109	17576	142212
110	17722	141938
111	17881	141778
112	18057	141739
113	18199	141447
114	18333	141091
115	18486	140880
116	18627	140580
117	18782	140391
118	18937	140199
119	19114	140173
120	19276	140034
121	19406	139662
122	19585	139643
123	19760	139599
124	19920	139443
125	20076	139263
126	20240	139130
127	20400	138975
128	20545	138723
129	20717	138646
130	20895	138615
131	21026	138263
132	21175	138037
133	21393	138257
134	21543	138038
135	21693	137814
136	21843	137598
137	21998	137413
138	22129	137073
139	22257	136722
140	22459	136826
141	22598	136545
142	22735	136255
143	22952	136439
144	23108	136258
145	23277	136154
146	23443	136038
147	23556	135611
148	23705	135394
149	23876	135300
150	24000	134944
151	24117	134550
152	24264	134328
153	24454	134339
154	24620	134220
155	24764	133981
156	24921	133815
157	25095	133735
158	25266	133641
159	25419	133454
160	25555	133174
161	25736	133130
162	25869	132837
163	26004	132560
164	26139	132284
165	26276	132014
166	26413	131751
167	26547	131471
168	26709	131336
169	26868	131182
170	27047	131123
171	27180	130846
172	27314	130573
173	27538	130728
174	27697	130571
175	27829	130291
176	27955	129984
177	28137	129940
178	28326	129922
179	28494	129809
180	28660	129686
181	28788	129389
182	28943	129217
183	29100	129056
184	29238	128805
185	29399	128661
186	29577	128592
187	29743	128467
188	30004	128748
189	30165	128598
190	30307	128369
191	30477	128261
192	30669	128238
193	30800	127964
194	30950	127770
195	31096	127559
196	31271	127468
197	31439	127345
198	31605	127214
199	31750	127001
200	31912	126854
201	32092	126780
202	32217	126487
203	32380	126346
204	32542	126202
205	32729	126150
206	32958	126262
207	33107	126062
208	33279	125952
209	33437	125789
210	33594	125620
211	33719	125335
212	33866	125132
213	34014	124931
214	34159	124722
215	34303	124509
216	34500	124489
217	34634	124240
218	34836	124235
219	35038	124226
220	35203	124086
221	35370	123954
222	35565	123922
223	35695	123660
224	35836	123438
225	35992	123267
226	36127	123023
227	36294	122891
228	36450	122720
229	36617	122589
230	36748	122337
231	36907	122176
232	37057	121987
233	37208	121801
234	37375	121668
235	37548	121555
236	37700	121374
237	37841	121155
238	37977	120922
239	38101	120655
240	38231	120405
241	38363	120163
242	38508	119961
243	38645	119737
244	38800	119569
245	38971	119447
246	39125	119276
247	39263	119057
248	39416	118883
249	39575	118725
250	39745	118602
251	39961	118616
252	40122	118464
253	40300	118363
254	40443	118157
255	40616	118042
256	40763	117849
257	40910	117658
258	41098	117582
259	41245	117391
260	41407	117241
261	41520	116953
262	41646	116704
263	41785	116493
264	41930	116297
265	42086	116132
266	42238	115958
267	42365	115715
268	42538	115597
269	42743	115566
270	42873	115331
271	43006	115105
272	43116	114819
273	43302	114735
274	43489	114653
275	43628	114446
276	43810	114349
277	43973	114204
278	44139	114066
279	44288	113885
280	44556	114007
281	44719	113859
282	44868	113677
283	45017	113494
284	45212	113428
285	45432	113423
286	45638	113380
287	45791	113206
288	45942	113029
289	46069	112790
290	46213	112596
291	46379	112454
292	46486	112170
293	46620	111951
294	46784	111806
295	46985	111749
296	47124	111544
297	47270	111355
298	47448	111241
299	47625	111127
300	47765	110923
301	47914	110741
