TransactionID,isFraud
3404559,0.02
3404560,0.05
3404561,0.01
3404562,0.0
3404563,0.11
3404564,0.04
3404565,0.01
3404566,0.02
3404567,0.0
3404568,0.17
3404569,0.0
3404570,0.02
3404571,0.03
3404572,0.0
3404573,0.0
3404574,0.0
3404575,0.02
3404576,0.0
3404577,0.06
3404578,0.03
3404579,0.0
3404580,0.08
3404581,0.01
3404582,0.0
3404583,0.01
3404584,0.0
3404585,0.0
3404586,0.01
3404587,0.0
3404588,0.0
3404589,0.0
3404590,0.0
3404591,0.02
3404592,0.02
3404593,0.04
3404594,0.0
3404595,0.02
3404596,0.02
3404597,0.01
3404598,0.0
3404599,0.0
3404600,0.01
3404601,0.15
3404602,0.01
3404603,0.0
3404604,0.04
3404605,0.09
3404606,0.08
3404607,0.1
3404608,0.0
3404609,0.03
3404610,0.0
3404611,0.01
3404612,0.01
3404613,0.0
3404614,0.01
3404615,0.01
3404616,0.03
3404617,0.01
3404618,0.03
3404619,0.0
3404620,0.01
3404621,0.32
3404622,0.0
3404623,0.08
3404624,0.0
3404625,0.0
3404626,0.03
3404627,0.03
3404628,0.0
3404629,0.0
3404630,0.01
3404631,0.01
3404632,0.05
3404633,0.01
3404634,0.01
3404635,0.01
3404636,0.03
3404637,0.0
3404638,0.0
3404639,0.02
3404640,0.0
3404641,0.0
3404642,0.0
3404643,0.0
3404644,0.01
3404645,0.0
3404646,0.0
3404647,0.0
3404648,0.04
3404649,0.09
3404650,0.02
3404651,0.0
3404652,0.01
3404653,0.0
3404654,0.0
3404655,0.02
3404656,0.0
3404657,0.0
3404658,0.0
3404659,0.0
3404660,0.09
3404661,0.0
3404662,0.02
3404663,0.01
3404664,0.08
3404665,0.01
3404666,0.02
3404667,0.0
3404668,0.06
3404669,0.02
3404670,0.03
3404671,0.04
3404672,0.0
3404673,0.01
3404674,0.07
3404675,0.0
3404676,0.05
3404677,0.01
3404678,0.0
3404679,0.05
3404680,0.01
3404681,0.01
3404682,0.08
3404683,0.04
3404684,0.0
3404685,0.04
3404686,0.01
3404687,0.01
3404688,0.01
3404689,0.01
3404690,0.02
3404691,0.0
3404692,0.01
3404693,0.02
3404694,0.01
3404695,0.04
3404696,0.0
3404697,0.02
3404698,0.05
3404699,0.0
3404700,0.01
3404701,0.01
3404702,0.03
3404703,0.02
3404704,0.01
3404705,0.0
3404706,0.01
3404707,0.01
3404708,0.01
3404709,0.02
3404710,0.01
3404711,0.0
3404712,0.0
3404713,0.02
3404714,0.05
3404715,0.01
3404716,0.03
3404717,0.0
3404718,0.21
3404719,0.0
3404720,0.0
3404721,0.0
3404722,0.0
3404723,0.0
3404724,0.0
3404725,0.0
3404726,0.0
3404727,0.0
3404728,0.07
3404729,0.02
3404730,0.03
3404731,0.0
3404732,0.02
3404733,0.0
3404734,0.0
3404735,0.0
3404736,0.0
3404737,0.0
3404738,0.0
3404739,0.01
3404740,0.0
3404741,0.01
3404742,0.01
3404743,0.01
3404744,0.01
3404745,0.01
3404746,0.01
3404747,0.0
3404748,0.0
3404749,0.01
3404750,0.0
3404751,0.0
3404752,0.01
3404753,0.01
3404754,0.0
3404755,0.1
3404756,0.01
3404757,0.02
3404758,0.0
3404759,0.0
3404760,0.0
3404761,0.0
3404762,0.01
3404763,0.01
3404764,0.03
3404765,0.0
3404766,0.0
3404767,0.01
3404768,0.0
3404769,0.01
3404770,0.01
3404771,0.0
3404772,0.09
3404773,0.03
3404774,0.0
3404775,0.0
3404776,0.0
3404777,0.0
3404778,0.03
3404779,0.0
3404780,0.02
3404781,0.07
3404782,0.0
3404783,0.0
3404784,0.0
3404785,0.0
3404786,0.0
3404787,0.03
3404788,0.0
3404789,0.02
3404790,0.01
3404791,0.0
3404792,0.01
3404793,0.0
3404794,0.0
3404795,0.14
3404796,0.0
3404797,0.02
3404798,0.0
3404799,0.0
3404800,0.01
3404801,0.01
3404802,0.01
3404803,0.06
3404804,0.01
3404805,0.0
3404806,0.0
3404807,0.0
3404808,0.0
3404809,0.02
3404810,0.0
3404811,0.01
3404812,0.05
3404813,0.0
3404814,0.0
3404815,0.0
3404816,0.0
3404817,0.0
3404818,0.0
3404819,0.01
3404820,0.0
3404821,0.01
3404822,0.0
3404823,0.01
3404824,0.0
3404825,0.0
3404826,0.0
3404827,0.07
3404828,0.0
3404829,0.0
3404830,0.01
3404831,0.03
3404832,0.35
3404833,0.0
3404834,0.0
3404835,0.01
3404836,0.01
3404837,0.02
3404838,0.02
3404839,0.01
3404840,0.03
3404841,0.01
3404842,0.0
3404843,0.0
3404844,0.01
3404845,0.0
3404846,0.01
3404847,0.01
3404848,0.05
3404849,0.0
3404850,0.02
3404851,0.0
3404852,0.0
3404853,0.01
3404854,0.0
3404855,0.0
3404856,0.04
3404857,0.0
3404858,0.0
3404859,0.0
3404860,0.02
3404861,0.03
3404862,0.01
3404863,0.06
3404864,0.02
3404865,0.01
3404866,0.04
3404867,0.04
3404868,0.03
3404869,0.0
3404870,0.01
3404871,0.0
3404872,0.05
3404873,0.01
3404874,0.01
3404875,0.0
3404876,0.01
3404877,0.01
3404878,0.01
3404879,0.03
3404880,0.0
3404881,0.01
3404882,0.0
3404883,0.0
3404884,0.0
3404885,0.0
3404886,0.0
3404887,0.02
3404888,0.03
3404889,0.02
3404890,0.0
3404891,0.0
3404892,0.02
3404893,0.02
3404894,0.01
3404895,0.04
3404896,0.0
3404897,0.0
3404898,0.05
3404899,0.0
3404900,0.0
3404901,0.0
3404902,0.01
3404903,0.0
3404904,0.01
3404905,0.01
3404906,0.01
3404907,0.01
3404908,0.0
3404909,0.01
3404910,0.0
3404911,0.05
3404912,0.05
3404913,0.0
3404914,0.22
3404915,0.0
3404916,0.0
3404917,0.03
3404918,0.01
3404919,0.03
3404920,0.0
3404921,0.0
3404922,0.18
3404923,0.01
3404924,0.01
3404925,0.04
3404926,0.01
3404927,0.03
3404928,0.02
3404929,0.04
3404930,0.01
3404931,0.0
3404932,0.02
3404933,0.0
3404934,0.01
3404935,0.0
3404936,0.0
3404937,0.03
3404938,0.03
3404939,0.0
3404940,0.01
3404941,0.0
3404942,0.03
3404943,0.0
3404944,0.0
3404945,0.01
3404946,0.0
3404947,0.02
3404948,0.0
3404949,0.01
3404950,0.0
3404951,0.0
3404952,0.04
3404953,0.01
3404954,0.01
3404955,0.03
3404956,0.01
3404957,0.05
3404958,0.06
3404959,0.05
3404960,0.0
3404961,0.01
3404962,0.0
3404963,0.0
3404964,0.0
3404965,0.0
3404966,0.02
3404967,0.0
3404968,0.09
3404969,0.05
3404970,0.0
3404971,0.01
3404972,0.02
3404973,0.0
3404974,0.0
3404975,0.06
3404976,0.02
3404977,0.01
3404978,0.14
3404979,0.0
3404980,0.03
3404981,0.0
3404982,0.0
3404983,0.0
3404984,0.0
3404985,0.0
3404986,0.0
3404987,0.0
3404988,0.0
3404989,0.0
3404990,0.08
3404991,0.0
3404992,0.0
3404993,0.01
3404994,0.04
3404995,0.0
3404996,0.0
3404997,0.02
3404998,0.0
3404999,0.0
3405000,0.0
3405001,0.0
3405002,0.1
3405003,0.03
3405004,0.0
3405005,0.03
3405006,0.0
3405007,0.06
3405008,0.0
3405009,0.01
3405010,0.14
3405011,0.0
3405012,0.55
3405013,0.01
3405014,0.53
3405015,0.0
3405016,0.04
3405017,0.44
3405018,0.0
3405019,0.03
3405020,0.0
3405021,0.01
3405022,0.0
3405023,0.33
3405024,0.0
3405025,0.01
3405026,0.02
3405027,0.02
3405028,0.0
3405029,0.01
3405030,0.0
3405031,0.0
3405032,0.0
3405033,0.0
3405034,0.05
3405035,0.06
3405036,0.01
3405037,0.07
3405038,0.04
3405039,0.0
3405040,0.03
3405041,0.0
3405042,0.0
3405043,0.0
3405044,0.02
3405045,0.0
3405046,0.0
3405047,0.05
3405048,0.07
3405049,0.0
3405050,0.02
3405051,0.01
3405052,0.01
3405053,0.0
3405054,0.01
3405055,0.07
3405056,0.0
3405057,0.0
3405058,0.0
3405059,0.0
3405060,0.33
3405061,0.1
3405062,0.0
3405063,0.06
3405064,0.0
3405065,0.13
3405066,0.05
3405067,0.02
3405068,0.1
3405069,0.0
3405070,0.0
3405071,0.02
3405072,0.0
3405073,0.02
3405074,0.01
3405075,0.0
3405076,0.0
3405077,0.01
3405078,0.01
3405079,0.12
3405080,0.0
3405081,0.0
3405082,0.0
3405083,0.02
3405084,0.02
3405085,0.02
3405086,0.11
3405087,0.03
3405088,0.04
3405089,0.01
3405090,0.0
3405091,0.23
3405092,0.02
3405093,0.13
3405094,0.0
3405095,0.1
3405096,0.0
3405097,0.01
3405098,0.04
3405099,0.0
3405100,0.09
3405101,0.0
3405102,0.0
3405103,0.0
3405104,0.0
3405105,0.11
3405106,0.0
3405107,0.0
3405108,0.04
3405109,0.0
3405110,0.0
3405111,0.02
3405112,0.12
3405113,0.02
3405114,0.03
3405115,0.14
3405116,0.09
3405117,0.29
3405118,0.0
3405119,0.0
3405120,0.45
3405121,0.85
3405122,0.02
3405123,0.0
3405124,0.0
3405125,0.0
3405126,0.01
3405127,0.13
3405128,0.03
3405129,0.07
