TransactionID,isFraud
3404559,1
3404560,1
3404561,1
3404562,1
3404563,1
3404564,1
3404565,1
3404566,1
3404567,1
3404568,1
3404569,1
3404570,0
3404571,1
3404572,0
3404573,0
3404574,1
3404575,0
3404576,0
3404577,1
3404578,1
3404579,1
3404580,0
3404581,0
3404582,0
3404583,0
3404584,1
3404585,1
3404586,1
3404587,0
3404588,0
3404589,1
3404590,0
3404591,0
3404592,1
3404593,1
3404594,1
3404595,1
3404596,1
3404597,0
3404598,0
3404599,0
3404600,0
3404601,1
3404602,1
3404603,1
3404604,1
3404605,0
3404606,1
3404607,1
3404608,1
3404609,0
3404610,1
3404611,1
3404612,0
3404613,0
3404614,1
3404615,0
3404616,1
3404617,1
3404618,0
3404619,0
3404620,1
3404621,1
3404622,0
3404623,1
3404624,1
3404625,0
3404626,1
3404627,0
3404628,0
3404629,1
3404630,1
3404631,1
3404632,0
3404633,1
3404634,0
3404635,1
3404636,1
3404637,1
3404638,1
3404639,0
3404640,0
3404641,0
3404642,0
3404643,1
3404644,1
3404645,1
3404646,0
3404647,1
3404648,1
3404649,1
3404650,1
3404651,1
3404652,1
3404653,1
3404654,0
3404655,1
3404656,0
3404657,0
3404658,0
3404659,1
3404660,1
3404661,1
3404662,1
3404663,1
3404664,1
3404665,1
3404666,1
3404667,0
3404668,1
3404669,0
3404670,1
3404671,1
3404672,1
3404673,1
3404674,1
3404675,1
3404676,1
3404677,1
3404678,1
3404679,1
3404680,1
3404681,0
3404682,0
3404683,0
3404684,1
3404685,1
3404686,1
3404687,1
3404688,1
3404689,0
3404690,1
3404691,1
3404692,0
3404693,0
3404694,0
3404695,0
3404696,0
3404697,1
3404698,1
3404699,0
3404700,0
3404701,1
3404702,1
3404703,1
3404704,1
3404705,0
3404706,0
3404707,1
3404708,1
3404709,0
3404710,1
3404711,0
3404712,0
3404713,0
3404714,1
3404715,0
3404716,0
3404717,0
3404718,1
3404719,1
3404720,1
3404721,0
3404722,1
3404723,0
3404724,0
3404725,0
3404726,1
3404727,1
3404728,0
3404729,0
3404730,1
3404731,0
3404732,1
3404733,0
3404734,1
3404735,0
3404736,1
3404737,1
3404738,0
3404739,1
3404740,0
3404741,0
3404742,1
3404743,1
3404744,0
3404745,1
3404746,1
3404747,1
3404748,0
3404749,1
3404750,0
3404751,1
3404752,0
3404753,1
3404754,1
3404755,1
3404756,1
3404757,0
3404758,0
3404759,1
3404760,1
3404761,0
3404762,0
3404763,0
3404764,0
3404765,1
3404766,1
3404767,1
3404768,0
3404769,0
3404770,0
3404771,0
3404772,1
3404773,1
3404774,1
3404775,1
3404776,1
3404777,0
3404778,1
3404779,1
3404780,1
3404781,1
3404782,1
3404783,0
3404784,0
3404785,0
3404786,1
3404787,1
3404788,1
3404789,0
3404790,1
3404791,0
3404792,1
3404793,0
3404794,0
3404795,1
3404796,0
3404797,1
3404798,0
3404799,0
3404800,0
3404801,1
3404802,1
3404803,1
3404804,1
3404805,0
3404806,1
3404807,1
3404808,0
3404809,0
3404810,1
3404811,0
3404812,1
3404813,0
3404814,1
3404815,0
3404816,1
3404817,1
3404818,0
3404819,0
3404820,1
3404821,1
3404822,0
3404823,1
3404824,0
3404825,0
3404826,1
3404827,0
3404828,0
3404829,0
3404830,1
3404831,1
3404832,1
3404833,1
3404834,0
3404835,0
3404836,1
3404837,0
3404838,1
3404839,0
3404840,1
3404841,0
3404842,0
3404843,0
3404844,1
3404845,1
3404846,1
3404847,0
3404848,1
3404849,0
3404850,1
3404851,0
3404852,1
3404853,0
3404854,1
3404855,0
3404856,1
3404857,0
3404858,0
3404859,1
3404860,1
3404861,1
3404862,0
3404863,1
3404864,1
3404865,1
3404866,0
3404867,1
3404868,0
3404869,1
3404870,1
3404871,1
3404872,1
3404873,1
3404874,0
3404875,0
3404876,1
3404877,1
3404878,0
3404879,1
3404880,0
3404881,1
3404882,1
3404883,0
3404884,1
3404885,1
3404886,1
3404887,1
3404888,1
3404889,1
3404890,0
3404891,0
3404892,0
3404893,1
3404894,1
3404895,0
3404896,1
3404897,1
3404898,1
3404899,1
3404900,1
3404901,0
3404902,1
3404903,1
3404904,0
3404905,1
3404906,0
3404907,1
3404908,0
3404909,1
3404910,1
3404911,1
3404912,1
3404913,0
3404914,0
3404915,0
3404916,0
3404917,1
3404918,1
3404919,1
3404920,0
3404921,1
3404922,1
3404923,1
3404924,1
3404925,1
3404926,1
3404927,1
3404928,1
3404929,0
3404930,1
3404931,1
3404932,0
3404933,0
3404934,1
3404935,0
3404936,1
3404937,1
3404938,1
3404939,0
3404940,0
3404941,0
3404942,1
3404943,1
3404944,1
3404945,1
3404946,1
3404947,0
3404948,1
3404949,0
3404950,1
3404951,1
3404952,1
3404953,1
3404954,1
3404955,1
3404956,1
3404957,1
3404958,1
3404959,0
3404960,1
3404961,1
3404962,1
3404963,0
3404964,1
3404965,1
3404966,1
3404967,0
3404968,1
3404969,0
3404970,0
3404971,1
3404972,1
3404973,1
3404974,0
3404975,1
3404976,1
3404977,0
3404978,1
3404979,1
3404980,1
3404981,1
3404982,0
3404983,0
3404984,0
3404985,0
3404986,1
3404987,1
3404988,0
3404989,1
3404990,0
3404991,0
3404992,0
3404993,0
3404994,1
3404995,0
3404996,0
3404997,1
3404998,0
3404999,1
3405000,0
3405001,0
3405002,1
3405003,1
3405004,1
3405005,1
3405006,1
3405007,1
3405008,1
3405009,0
3405010,1
3405011,0
3405012,1
3405013,1
3405014,1
3405015,0
3405016,1
3405017,1
3405018,1
3405019,1
3405020,0
3405021,0
3405022,1
3405023,1
3405024,1
3405025,1
3405026,0
3405027,0
3405028,1
3405029,1
3405030,0
3405031,1
3405032,1
3405033,0
3405034,1
3405035,0
3405036,1
3405037,1
3405038,1
3405039,0
3405040,1
3405041,1
3405042,0
3405043,1
3405044,1
3405045,0
3405046,0
3405047,1
3405048,1
3405049,0
3405050,1
3405051,0
3405052,0
3405053,0
3405054,1
3405055,1
3405056,1
3405057,0
3405058,1
3405059,0
3405060,1
3405061,1
3405062,1
3405063,1
3405064,1
3405065,1
3405066,1
3405067,0
3405068,1
3405069,0
3405070,0
3405071,1
3405072,0
3405073,1
3405074,1
3405075,1
3405076,1
3405077,1
3405078,1
3405079,1
3405080,1
3405081,0
3405082,1
3405083,1
3405084,1
3405085,1
3405086,0
3405087,1
3405088,1
3405089,1
3405090,1
3405091,0
3405092,1
3405093,1
3405094,1
3405095,1
3405096,0
3405097,1
3405098,1
3405099,0
3405100,0
3405101,0
3405102,0
3405103,1
3405104,1
3405105,1
3405106,1
3405107,0
3405108,1
3405109,0
3405110,0
3405111,1
3405112,1
3405113,1
3405114,1
3405115,1
3405116,1
3405117,1
3405118,0
3405119,0
3405120,1
3405121,1
3405122,0
3405123,1
3405124,1
3405125,0
3405126,0
3405127,1
3405128,0
3405129,1
3405130,1
3405131,1
3405132,1
3405133,1
3405134,1
3405135,1
3405136,1
3405137,0
3405138,1
3405139,0
3405140,1
3405141,1
3405142,1
3405143,1
3405144,1
3405145,1
3405146,1
3405147,1
3405148,0
3405149,1
3405150,1
3405151,1
3405152,0
3405153,0
3405154,0
3405155,1
3405156,0
3405157,1
3405158,0
3405159,0
3405160,1
3405161,0
3405162,0
3405163,0
3405164,0
3405165,1
3405166,1
3405167,0
3405168,1
3405169,0
3405170,1
3405171,0
3405172,1
3405173,0
3405174,1
3405175,0
3405176,0
3405177,0
3405178,1
3405179,1
3405180,1
3405181,1
3405182,1
3405183,1
3405184,1
3405185,0
3405186,0
3405187,1
3405188,1
3405189,0
3405190,1
3405191,1
3405192,1
3405193,0
3405194,0
3405195,1
3405196,1
3405197,1
3405198,1
3405199,0
3405200,0
3405201,1
3405202,1
3405203,0
3405204,1
3405205,1
3405206,1
3405207,1
3405208,1
3405209,1
3405210,1
3405211,1
3405212,0
3405213,1
3405214,1
3405215,1
3405216,0
3405217,1
3405218,0
3405219,1
3405220,0
3405221,1
3405222,1
3405223,1
3405224,1
3405225,1
3405226,1
3405227,1
3405228,1
3405229,1
3405230,1
3405231,0
3405232,1
3405233,0
3405234,0
3405235,1
3405236,1
3405237,0
3405238,1
3405239,0
3405240,1
3405241,1
3405242,1
3405243,0
3405244,1
3405245,1
3405246,1
3405247,1
3405248,1
3405249,1
3405250,1
3405251,1
3405252,1
3405253,1
3405254,0
3405255,1
3405256,1
3405257,0
3405258,1
3405259,1
3405260,0
3405261,1
3405262,1
3405263,0
3405264,1
3405265,1
3405266,1
3405267,1
3405268,0
3405269,1
3405270,0
3405271,0
3405272,1
3405273,1
3405274,1
3405275,1
3405276,1
3405277,1
3405278,0
3405279,1
3405280,1
3405281,1
3405282,1
3405283,1
3405284,1
3405285,1
3405286,0
3405287,1
3405288,0
3405289,1
3405290,1
3405291,1
3405292,0
3405293,0
3405294,1
3405295,0
3405296,1
3405297,0
3405298,1
3405299,1
3405300,1
3405301,1
3405302,0
3405303,0
3405304,0
3405305,1
3405306,1
3405307,0
3405308,1
3405309,0
3405310,1
3405311,0
3405312,1
3405313,1
3405314,0
3405315,0
3405316,1
3405317,1
3405318,1
3405319,1
3405320,0
3405321,1
3405322,1
3405323,1
3405324,1
3405325,1
3405326,1
3405327,1
3405328,1
3405329,1
3405330,0
3405331,0
3405332,1
3405333,0
3405334,0
3405335,0
3405336,0
3405337,1
3405338,1
3405339,1
3405340,1
3405341,1
3405342,1
3405343,1
3405344,1
3405345,1
3405346,1
3405347,1
3405348,1
3405349,1
3405350,0
3405351,0
3405352,1
3405353,1
3405354,0
3405355,1
3405356,1
3405357,1
3405358,1
3405359,1
3405360,1
3405361,0
3405362,0
3405363,0
3405364,0
3405365,1
3405366,1
3405367,1
3405368,1
3405369,1
3405370,1
3405371,1
3405372,1
3405373,1
3405374,1
3405375,1
3405376,0
3405377,1
3405378,0
3405379,0
3405380,1
3405381,1
3405382,0
3405383,1
3405384,1
3405385,1
3405386,1
3405387,0
3405388,0
3405389,0
3405390,1
3405391,0
3405392,0
3405393,1
3405394,1
3405395,0
3405396,1
3405397,1
3405398,1
3405399,1
3405400,1
3405401,0
3405402,1
3405403,1
3405404,1
3405405,0
3405406,1
3405407,0
3405408,1
3405409,1
3405410,0
3405411,1
3405412,0
3405413,0
3405414,1
3405415,0
3405416,1
3405417,1
3405418,1
3405419,0
3405420,1
3405421,1
3405422,1
3405423,1
3405424,1
3405425,1
3405426,0
3405427,0
3405428,1
3405429,1
3405430,0
3405431,1
3405432,1
3405433,1
3405434,1
3405435,1
3405436,1
3405437,0
3405438,1
3405439,1
3405440,1
3405441,1
3405442,1
3405443,1
3405444,0
3405445,1
3405446,1
3405447,1
3405448,0
3405449,0
3405450,1
3405451,1
3405452,1
3405453,1
3405454,0
3405455,1
3405456,1
3405457,1
3405458,1
3405459,1
3405460,0
3405461,0
3405462,1
3405463,1
3405464,1
3405465,1
3405466,1
3405467,0
3405468,1
3405469,1
3405470,1
3405471,1
3405472,1
3405473,0
3405474,1
3405475,0
3405476,1
3405477,1
3405478,0
3405479,1
3405480,1
3405481,0
3405482,0
3405483,0
3405484,1
3405485,0
3405486,1
3405487,1
3405488,1
3405489,0
3405490,1
3405491,0
3405492,1
3405493,1
3405494,1
3405495,1
3405496,0
3405497,0
3405498,1
3405499,0
3405500,1
3405501,1
3405502,1
3405503,1
3405504,0
3405505,1
3405506,1
3405507,1
3405508,1
3405509,1
3405510,1
3405511,1
3405512,0
3405513,1
3405514,1
3405515,1
3405516,1
3405517,1
3405518,0
3405519,1
3405520,0
3405521,1
3405522,1
3405523,0
3405524,1
3405525,1
3405526,0
3405527,1
3405528,1
3405529,1
3405530,0
3405531,1
3405532,1
3405533,1
3405534,1
3405535,0
